Name;Year;Category;Countries;Gender;Description;Details
George Whipple;1934;Physiology or Medicine;United States;Man;;
Frédéric Joliot-Curie;1935;Chemistry;France;Man;;
Carl von Ossietzky;1935;Peace;Germany;Man;;
Hans Spemann;1935;Physiology or Medicine;Germany;Man;;
James Chadwick;1935;Physics;United Kingdom;Man;;
Carlos Saavedra Lamas;1936;Peace;Argentina;Man;;
Victor Francis Hess;1936;Physics;Austria;Man;;
Otto Loewi;1936;Physiology or Medicine;Austria, Germany;Man;;
Peter Debye;1936;Chemistry;Netherlands;Man;;
Henry Hallett Dale;1936;Physiology or Medicine;United Kingdom;Man;;
Eugene O'Neill;1936;Literature;United States;Man;;
Carl David Anderson;1936;Physics;United States;Man;;
Roger Martin du Gard;1937;Literature;France;Man;;
Albert Szent-Györgyi;1937;Physiology or Medicine;Hungary;Man;;
Paul Karrer;1937;Chemistry;Switzerland;Man;;
George Paget Thomson;1937;Physics;United Kingdom;Man;;
Norman Haworth;1937;Chemistry;United Kingdom;Man;;
Clinton Davisson;1937;Physics;United States;Man;;
Richard Kuhn;1938;Chemistry;Austria, Germany;Man;;
Corneille Heymans;1938;Physiology or Medicine;Belgium;Man;;
Enrico Fermi;1938;Physics;Italy;Man;;
Leopold Ružička;1939;Chemistry;Croatia, Switzerland;Man;;
Frans Eemil Sillanpää;1939;Literature;Finland;Man;;
Adolf Butenandt;1939;Chemistry;Germany;Man;;
Gerhard Domagk;1939;Physiology or Medicine;Germany;Man;;
Ernest Lawrence;1939;Physics;United States;Man;;
Henrik Dam;1943;Physiology or Medicine;Denmark;Man;;
Otto Stern;1943;Physics;Germany, United States;Man;;
George de Hevesy;1943;Chemistry;Hungary;Man;;
Edward Adelbert Doisy;1943;Physiology or Medicine;United States;Man;;
Johannes Vilhelm Jensen;1944;Literature;Denmark;Man;;
Otto Hahn;1944;Chemistry;Germany;Man;;
Isidor Isaac Rabi;1944;Physics;Poland, United States;Man;;
Joseph Erlanger;1944;Physiology or Medicine;United States;Man;;
Herbert Spencer Gasser;1944;Physiology or Medicine;United States;Man;;
Howard Florey;1945;Physiology or Medicine;Australia;Man;;
Wolfgang Pauli;1945;Physics;Austria;Man;;
Artturi Ilmari Virtanen;1945;Chemistry;Finland;Man;;
Ernst Boris Chain;1945;Physiology or Medicine;Germany, United Kingdom;Man;;
Alexander Fleming;1945;Physiology or Medicine;United Kingdom;Man;;
Cordell Hull;1945;Peace;United States;Man;;
Hermann Hesse;1946;Literature;Germany, Switzerland;Man;;
James B. Sumner;1946;Chemistry;United States;Man;;
John Howard Northrop;1946;Chemistry;United States;Man;;
Hermann Joseph Muller;1946;Physiology or Medicine;United States;Man;;
John Mott;1946;Peace;United States;Man;;
Percy Williams Bridgman;1946;Physics;United States;Man;;
Wendell Meredith Stanley;1946;Chemistry;United States;Man;;
Bernardo Houssay;1947;Physiology or Medicine;Argentina;Man;;
Carl Ferdinand Cori;1947;Physiology or Medicine;Czech Republic, United States;Man;;
André Gide;1947;Literature;France;Man;;
Edward Victor Appleton;1947;Physics;United Kingdom;Man;;
Robert Robinson;1947;Chemistry;United Kingdom;Man;;
Arne Tiselius;1948;Chemistry;Sweden;Man;;
Paul Hermann Müller;1948;Physiology or Medicine;Switzerland;Man;;
Patrick Blackett;1948;Physics;United Kingdom;Man;;
T. S. Eliot;1948;Literature;United Kingdom, United States;Man;;
William Giauque;1949;Chemistry;Canada, United States;Man;;
Hideki Yukawa;1949;Physics;Japan;Man;;
António Egas Moniz;1949;Physiology or Medicine;Portugal;Man;;
Walter Rudolf Hess;1949;Physiology or Medicine;Switzerland;Man;;
John Boyd Orr;1949;Peace;United Kingdom;Man;;
William Faulkner;1949;Literature;United States;Man;;
C. F. Powell;1950;Physics;United Kingdom;Man;;
Tadeus Reichstein;1950;Physiology or Medicine;Poland, Switzerland;Man;;
Kurt Alder;1950;Chemistry;Germany;Man;;
Otto Diels;1950;Chemistry;Germany;Man;;
Bertrand Russell;1950;Literature;United Kingdom;Man;;
Edward Calvin Kendall;1950;Physiology or Medicine;United States;Man;;
Philip Showalter Hench;1950;Physiology or Medicine;United States;Man;;
Ralph Bunche;1950;Peace;United States;Man;;
Léon Jouhaux;1951;Peace;France;Man;;
Ernest Walton;1951;Physics;Ireland;Man;;
Max Theiler;1951;Physiology or Medicine;South Africa;Man;;
Pär Lagerkvist;1951;Literature;Sweden;Man;;
John Cockcroft;1951;Physics;United Kingdom;Man;;
Edwin McMillan;1951;Chemistry;United States;Man;;
Glenn T. Seaborg;1951;Chemistry;United States;Man;;
Edward Mills Purcell;1952;Physics;United States;Man;;
François Mauriac;1952;Literature;France;Man;;
Albert Schweitzer;1952;Peace;France, Germany;Man;;
Felix Bloch;1952;Physics;Switzerland, United States;Man;;
Selman Waksman;1952;Physiology or Medicine;Ukraine, United States;Man;;
Archer John Porter Martin;1952;Chemistry;United Kingdom;Man;;
Richard Laurence Millington Synge;1952;Chemistry;United Kingdom;Man;;
Hermann Staudinger;1953;Chemistry;Germany;Man;;
Hans Adolf Krebs;1953;Physiology or Medicine;Germany, United Kingdom;Man;;
Fritz Albert Lipmann;1953;Physiology or Medicine;Germany, United States;Man;;
Frits Zernike;1953;Physics;Netherlands;Man;;
Winston Churchill;1953;Literature;United Kingdom;Man;;
George Marshall;1953;Peace;United States;Man;;
Walther Bothe;1954;Physics;Germany;Man;;
Max Born;1954;Physics;Germany, United Kingdom;Man;;
Ernest Hemingway;1954;Literature;United States;Man;;
Frederick Chapman Robbins;1954;Physiology or Medicine;United States;Man;;
John Franklin Enders;1954;Physiology or Medicine;United States;Man;;
Linus Pauling;1954;Chemistry;United States;Man;;
Thomas Huckle Weller;1954;Physiology or Medicine;United States;Man;;
Polykarp Kusch;1955;Physics;Germany, United States;Man;;
Halldór Laxness;1955;Literature;Iceland;Man;;
Hugo Theorell;1955;Physiology or Medicine;Sweden;Man;;
Vincent du Vigneaud;1955;Chemistry;United States;Man;;
Willis Lamb;1955;Physics;United States;Man;;
André Frédéric Cournand;1956;Physiology or Medicine;France;Man;;
Werner Forssmann;1956;Physiology or Medicine;Germany;Man;;
Nikolay Semyonov;1956;Chemistry;Russia and Soviet Union;Man;;
Juan Ramón Jiménez;1956;Literature;Spain;Man;;
Cyril Norman Hinshelwood;1956;Chemistry;United Kingdom;Man;;
Dickinson W. Richards;1956;Physiology or Medicine;United States;Man;;
John Bardeen;1956;Physics;United States;Man;;
Walter Houser Brattain;1956;Physics;United States;Man;;
William Shockley;1956;Physics;United States;Man;;
The Lord Todd;1957;Chemistry;United Kingdom;Man;;
Lester B. Pearson;1957;Peace;Canada;Man;;
Tsung-Dao Lee;1957;Physics;China, Republic of, United States;Man;;
Albert Camus;1957;Literature;France;Man;;
Daniel Bovet;1957;Physiology or Medicine;Italy, Switzerland;Man;;
Chen Ning Yang;1957;Physics;United States;Man;;
Dominique Pire;1958;Peace;Belgium;Man;;
Boris Pasternak;1958;Literature;Russia and Soviet Union;Man;;
Igor Tamm;1958;Physics;Russia and Soviet Union;Man;;
Pavel Cherenkov;1958;Physics;Russia and Soviet Union;Man;;
Ilya Frank;1958;Physics;Russia and Soviet Union;Man;;
Frederick Sanger;1958;Chemistry;United Kingdom;Man;;
Joshua Lederberg;1958;Physiology or Medicine;United States;Man;;
Edward Lawrie Tatum;1958;Physiology or Medicine;United States;Man;;
George Wells Beadle;1958;Physiology or Medicine;United States;Man;;
Jaroslav Heyrovský;1959;Chemistry;Czech Republic;Man;;
Salvatore Quasimodo;1959;Literature;Italy;Man;;
Emilio G. Segrè;1959;Physics;Italy, United States;Man;;
Severo Ochoa;1959;Physiology or Medicine;Spain, United States;Man;;
Philip Noel-Baker;1959;Peace;United Kingdom;Man;;
Arthur Kornberg;1959;Physiology or Medicine;United States;Man;;
Owen Chamberlain;1959;Physics;United States;Man;;
Frank Macfarlane Burnet;1960;Physiology or Medicine;Australia;Man;;
Peter Medawar;1960;Physiology or Medicine;Brazil, United Kingdom;Man;;
Saint-John Perse;1960;Literature;France;Man;;
Albert Lutuli;1960;Peace;South Africa;Man;;
Donald A. Glaser;1960;Physics;United States;Man;;
Willard Libby;1960;Chemistry;United States;Man;;
Ivo Andrić;1961;Literature;Bosnia and Herzegovina;Man;;
Rudolf Mössbauer;1961;Physics;Germany;Man;;
Georg von Békésy;1961;Physiology or Medicine;Hungary, United States;Man;;
Dag Hammarskjöld;1961;Peace;Sweden;Man;;
Melvin Calvin;1961;Chemistry;United States;Man;;
Robert Hofstadter;1961;Physics;United States;Man;;
Max Perutz;1962;Chemistry;Austria, United Kingdom;Man;;
Maurice Wilkins;1962;Physiology or Medicine;New Zealand, United Kingdom;Man;;
Lev Landau;1962;Physics;Russia and Soviet Union;Man;;
Francis Crick;1962;Physiology or Medicine;United Kingdom;Man;;
John Kendrew;1962;Chemistry;United Kingdom;Man;;
James D. Watson;1962;Physiology or Medicine;United States;Man;;
John Steinbeck;1962;Literature;United States;Man;;
Linus Pauling;1962;Peace;United States;Man;;
John Eccles;1963;Physiology or Medicine;Australia;Man;;
J. Hans D. Jensen;1963;Physics;Germany;Man;;
Karl Ziegler;1963;Chemistry;Germany;Man;;
Giorgos Seferis;1963;Literature;Greece;Man;;
Eugene Wigner;1963;Physics;Hungary, United States;Man;;
Giulio Natta;1963;Chemistry;Italy;Man;;
Alan Lloyd Hodgkin;1963;Physiology or Medicine;United Kingdom;Man;;
Andrew Huxley;1963;Physiology or Medicine;United Kingdom;Man;;
Jean-Paul Sartre[d];1964;Literature;France;Man;;
Feodor Felix Konrad Lynen;1964;Physiology or Medicine;Germany;Man;;
Konrad Emil Bloch;1964;Physiology or Medicine;Germany, United States;Man;;
Alexander Prokhorov;1964;Physics;Russia and Soviet Union;Man;;
Nikolay Basov;1964;Physics;Russia and Soviet Union;Man;;
Charles Hard Townes;1964;Physics;United States;Man;;
Martin Luther King; Jr.;1964;Peace;United States;Man;
François Jacob;1965;Physiology or Medicine;France;Man;;
Jacques Monod;1965;Physiology or Medicine;France;Man;;
André Michel Lwoff;1965;Physiology or Medicine;France;Man;;
Sin-Itiro Tomonaga;1965;Physics;Japan;Man;;
Mikhail Sholokhov;1965;Literature;Russia and Soviet Union;Man;;
Julian Schwinger;1965;Physics;United States;Man;;
Richard Feynman;1965;Physics;United States;Man;;
Robert Burns Woodward;1965;Chemistry;United States;Man;;
Charles Brenton Huggins;1966;Physiology or Medicine;Canada, United States;Man;;
Alfred Kastler;1966;Physics;France;Man;;
Shmuel Yosef Agnon;1966;Literature;Israel, Ukraine;Man;;
Francis Peyton Rous;1966;Physiology or Medicine;United States;Man;;
Robert S. Mulliken;1966;Chemistry;United States;Man;;
Ragnar Granit;1967;Physiology or Medicine;Finland, Sweden;Man;;
Manfred Eigen;1967;Chemistry;Germany;Man;;
Hans Bethe;1967;Physics;Germany, United States;Man;;
Miguel Ángel Asturias;1967;Literature;Guatemala;Man;;
George Porter;1967;Chemistry;United Kingdom;Man;;
Ronald George Wreyford Norrish;1967;Chemistry;United Kingdom;Man;;
George Wald;1967;Physiology or Medicine;United States;Man;;
Haldan Keffer Hartline;1967;Physiology or Medicine;United States;Man;;
René Cassin;1968;Peace;France;Man;;
Har Gobind Khorana;1968;Physiology or Medicine;India, United States;Man;;
Yasunari Kawabata;1968;Literature;Japan;Man;;
Lars Onsager;1968;Chemistry;Norway, United States;Man;;
Marshall Warren Nirenberg;1968;Physiology or Medicine;United States;Man;;
Robert W. Holley;1968;Physiology or Medicine;United States;Man;;
Luis Walter Alvarez;1968;Physics;United States;Man;;
Max Delbrück;1969;Physiology or Medicine;Germany, United States;Man;;
Samuel Beckett;1969;Literature;Ireland;Man;;
Salvador Luria;1969;Physiology or Medicine;Italy, United States;Man;;
Jan Tinbergen;1969;Economics;Netherlands;Man;;
Odd Hassel;1969;Chemistry;Norway;Man;;
Ragnar Frisch;1969;Economics;Norway;Man;;
Derek Barton;1969;Chemistry;United Kingdom;Man;;
Alfred Hershey;1969;Physiology or Medicine;United States;Man;;
Murray Gell-Mann;1969;Physics;United States;Man;;
Luis Federico Leloir;1970;Chemistry;Argentina, France;Man;;
Louis Néel;1970;Physics;France;Man;;
Bernard Katz;1970;Physiology or Medicine;Germany, United Kingdom;Man;;
Aleksandr Solzhenitsyn;1970;Literature;Russia and Soviet Union;Man;;
Hannes Alfvén;1970;Physics;Sweden;Man;;
Ulf von Euler;1970;Physiology or Medicine;Sweden;Man;;
Julius Axelrod;1970;Physiology or Medicine;United States;Man;;
Norman Borlaug;1970;Peace;United States;Man;;
Paul Samuelson;1970;Economics;United States;Man;;
Gerhard Herzberg;1971;Chemistry;Canada, Germany;Man;;
Pablo Neruda;1971;Literature;Chile;Man;;
Willy Brandt;1971;Peace;Germany;Man;;
Dennis Gabor;1971;Physics;Hungary, United Kingdom;Man;;
Simon Kuznets;1971;Economics;Russia and Soviet Union, United States;Man;;
Earl Wilbur Sutherland; Jr.;1971;Physiology or Medicine;United States;Man;
Heinrich Böll;1972;Literature;Germany;Man;;
John Hicks;1972;Economics;United Kingdom;Man;;
Rodney Robert Porter;1972;Physiology or Medicine;United Kingdom;Man;;
Gerald Edelman;1972;Physiology or Medicine;United States;Man;;
John Bardeen;1972;Physics;United States;Man;;
Stanford Moore;1972;Chemistry;United States;Man;;
Christian B. Anfinsen;1972;Chemistry;United States;Man;;
John Robert Schrieffer;1972;Physics;United States;Man;;
Kenneth Arrow;1972;Economics;United States;Man;;
Leon Cooper;1972;Physics;United States;Man;;
William Howard Stein;1972;Chemistry;United States;Man;;
Le Duc Tho;1973;Peace;Vietnam;Man;;
Patrick White;1973;Literature;Australia, United Kingdom;Man;;
Konrad Lorenz;1973;Physiology or Medicine;Austria;Man;;
Karl von Frisch;1973;Physiology or Medicine;Austria, Germany;Man;;
Ernst Otto Fischer;1973;Chemistry;Germany;Man;;
Leo Esaki;1973;Physics;Japan;Man;;
Nikolaas Tinbergen;1973;Physiology or Medicine;Netherlands, United Kingdom;Man;;
Ivar Giaever;1973;Physics;Norway, United States;Man;;
Brian David Josephson;1973;Physics;United Kingdom;Man;;
Geoffrey Wilkinson;1973;Chemistry;United Kingdom;Man;;
Henry Kissinger;1973;Peace;United States;Man;;
Wassily Leontief;1973;Economics;United States;Man;;
Friedrich Hayek;1974;Economics;Austria, United Kingdom;Man;;
Albert Claude;1974;Physiology or Medicine;Belgium;Man;;
Christian de Duve;1974;Physiology or Medicine;Belgium, United Kingdom;Man;;
Seán MacBride;1974;Peace;France, Ireland;Man;;
Eisaku Satō;1974;Peace;Japan;Man;;
George Emil Palade;1974;Physiology or Medicine;Romania, United States;Man;;
Eyvind Johnson;1974;Literature;Sweden;Man;;
Gunnar Myrdal;1974;Economics;Sweden;Man;;
Harry Martinson;1974;Literature;Sweden;Man;;
Antony Hewish;1974;Physics;United Kingdom;Man;;
Martin Ryle;1974;Physics;United Kingdom;Man;;
Paul Flory;1974;Chemistry;United States;Man;;
John Cornforth;1975;Chemistry;Australia, United Kingdom;Man;;
Vladimir Prelog;1975;Chemistry;Bosnia and Herzegovina, Croatia, Switzerland;Man;;
Aage Bohr;1975;Physics;Denmark;Man;;
Ben Roy Mottelson;1975;Physics;Denmark, United States;Man;;
Eugenio Montale;1975;Literature;Italy;Man;;
Renato Dulbecco;1975;Physiology or Medicine;Italy, United States;Man;;
Tjalling Koopmans;1975;Economics;Netherlands, United States;Man;;
Andrei Sakharov;1975;Peace;Russia and Soviet Union;Man;;
Leonid Kantorovich;1975;Economics;Russia and Soviet Union;Man;;
David Baltimore;1975;Physiology or Medicine;United States;Man;;
Howard Martin Temin;1975;Physiology or Medicine;United States;Man;;
James Rainwater;1975;Physics;United States;Man;;
Saul Bellow;1976;Literature;Canada, United States;Man;;
Samuel C. C. Ting;1976;Physics;Taiwan (China, Republic of), United States;Man;;
Burton Richter;1976;Physics;United States;Man;;
Daniel Carleton Gajdusek;1976;Physiology or Medicine;United States;Man;;
Milton Friedman;1976;Economics;United States;Man;;
William Lipscomb;1976;Chemistry;United States;Man;;
Baruch Samuel Blumberg;1976;Physiology or Medicine;United States;Man;;
Ilya Prigogine;1977;Chemistry;Belgium, Russia and Soviet Union;Man;;
Roger Guillemin;1977;Physiology or Medicine;France, United States;Man;;
Andrew Schally;1977;Physiology or Medicine;Poland, United States;Man;;
Vicente Aleixandre;1977;Literature;Spain;Man;;
Bertil Ohlin;1977;Economics;Sweden;Man;;
James Meade;1977;Economics;United Kingdom;Man;;
Nevill Francis Mott;1977;Physics;United Kingdom;Man;;
John Hasbrouck Van Vleck;1977;Physics;United States;Man;;
Philip Warren Anderson;1977;Physics;United States;Man;;
Anwar Sadat;1978;Peace;Egypt;Man;;
Arno Allan Penzias;1978;Physics;Germany, United States;Man;;
Menachem Begin;1978;Peace;Israel, Poland, Russia and Soviet Union;Man;;
Isaac Bashevis Singer;1978;Literature;Poland, United States;Man;;
Pyotr Kapitsa;1978;Physics;Russia and Soviet Union;Man;;
Werner Arber;1978;Physiology or Medicine;Switzerland;Man;;
Peter D. Mitchell;1978;Chemistry;United Kingdom;Man;;
Daniel Nathans;1978;Physiology or Medicine;United States;Man;;
Hamilton O. Smith;1978;Physiology or Medicine;United States;Man;;
Herbert A. Simon;1978;Economics;United States;Man;;
Robert Woodrow Wilson;1978;Physics;United States;Man;;
Arthur Lewis;1979;Economics;Saint Lucia, United Kingdom;Man;;
Georg Wittig;1979;Chemistry;Germany;Man;;
Odysseas Elytis;1979;Literature;Greece;Man;;
Abdus Salam;1979;Physics;Pakistan;Man;;
Allan McLeod Cormack;1979;Physiology or Medicine;South Africa, United States;Man;;
Godfrey Hounsfield;1979;Physiology or Medicine;United Kingdom;Man;;
Herbert C. Brown;1979;Chemistry;United States;Man;;
Steven Weinberg;1979;Physics;United States;Man;;
Theodore Schultz;1979;Economics;United States;Man;;
Sheldon Lee Glashow;1979;Physics;United States;Man;;
Adolfo Pérez Esquivel;1980;Peace;Argentina;Man;;
Jean Dausset;1980;Physiology or Medicine;France;Man;;
Czesław Miłosz;1980;Literature;Lithuania, Poland, United States;Man;;
Frederick Sanger;1980;Chemistry;United Kingdom;Man;;
